Column1
"Adanero,""40.9423902938509,-4.5952181070"""
"San-Garcia-de-Ingelmos San-Garcia-de-Ingelmos,""40.7651049398484,-5.1083116043"""
"San-Juan-de-Gredos San-Juan-de-Gredos,""40.3373220196163,-5.2483825662"""
"San-Juan-de-la-Encinilla San-Juan-de-la-Encinilla,""40.8225326104538,-4.8292848703"""
"San-Juan-de-la-Nava San-Juan-de-la-Nava,""40.460824451038,-4.68178693318"""
"San-Juan-del-Molinillo San-Juan-del-Molinillo,""40.4655267253325,-4.8350288052"""
"San-Juan-del-Olmo San-Juan-del-Olmo,""40.6414324090494,-5.0410134620"""
"San-Lorenzo-de-Tormes San-Lorenzo-de-Tormes,""40.3793420687206,-5.5039064675"""
"San-Martin-del-Pimpollar San-Martin-del-Pimpollar,""40.3744255953966,-5.0311329145"""
"San-Martin-Vega-Alberche San-Martin-Vega-Alberche,""40.656811,-4.68672"""
"San-Miguel-de-Corneja San-Miguel-de-Corneja,""40.4961141302994,-5.2736929545"""
"San-Miguel-de-Serrezuela San-Miguel-de-Serrezuela,""40.6930108942333,-5.2735935206"""
"San-Pascual San-Pascual,""40.8978382253371,-4.7297729757"""
"San-Pedro-del-Arroyo San-Pedro-del-Arroyo,""40.7912542942643,-4.8673518607"""
"San-Vicente-de-Arevalo San-Vicente-de-Arevalo,""40.9610551660933,-4.7895508845"""
"Sanchidrian Sanchidrian,""40.89188465956,-4.585394404210"""
"Sanchorreja Sanchorreja,""40.6817109370012,-4.8783441631"""
"Santa-Cruz-de-Pinares Santa-Cruz-de-Pinares,""40.5317202725269,-4.5849281629"""
"Santa-Cruz-del-Valle Santa-Cruz-del-Valle,""40.2151774047056,-4.9938145478"""
"Santa-Maria-de-los-Caballeros Santa-Maria-de-los-Caballeros,""40.3917727672083,-5.4459895853"""
"Santa-Maria-del-Arroyo Santa-Maria-del-Arroyo,""40.6005362889895,-4.9399093058"""
"Santa-Maria-del-Berrocal Santa-Maria-del-Berrocal,""40.5061507892602,-5.4110666048"""
"Santa-Maria-del-Cubillo Santa-Maria-del-Cubillo,""40.7190797166089,-4.4665457543"""
"Santa-Maria-del-Tietar Santa-Maria-del-Tietar,""40.3097599963535,-4.5512716532"""
"Santiago-del-Collado Santiago-del-Collado,""40.4276878409043,-5.3396749939"""
"Santiago-del-Tormes Santiago-del-Tormes,""40.3436437381131,-5.3705810047"""
"Santo-Domingo-de-las-Posadas Santo-Domingo-de-las-Posadas,""40.8002763090945,-4.6426704622"""
"Santo-Tome-de-Zabarcos Santo-Tome-de-Zabarcos,""40.7889352045435,-4.9031177812"""
"Serrada-La Serrada-La,""40.6318101296389,-4.7868356720"""
"Serranillos Serranillos,""40.3310298165562,-4.9067576262"""
"Sigeres Sigeres,""40.7943749891632,-4.9307505354"""
"Sinlabajos Sinlabajos,""41.0766224566966,-4.8369772250"""
"Solana-de-avila Solana-de-avila,""40.3313517921196,-5.6375884989"""
"Solana-de-Rioalmar Solana-de-Rioalmar,""40.7414458130289,-5.0196725000"""
"Solosancho Solosancho,""40.5552048369557,-4.9113526589"""
"Sotalbo Sotalbo,""40.5245212205386,-4.8775596268"""
"Sotillo-de-la-Adrada Sotillo-de-la-Adrada,""40.2988141443386,-4.5995954653"""
"Tiemblo-El Tiemblo-El,""40.3945523140453,-4.4765874903"""
"Tinosillos Tinosillos,""40.9534134644058,-4.7124869543"""
"Tolbanos Tolbanos,""40.7554405419615,-4.5887993850"""
"Tormellas Tormellas,""40.313073111687,-5.50741601362"""
"Tornadizos-de-avila Tornadizos-de-avila,""40.6129513388816,-4.6178219670"""
"Torre-La Torre-La,""40.6052299865576,-4.9601740428"""
"Tortoles Tortoles,""40.5775565731228,-5.2722203787"""
"Umbrias Umbrias,""40.3206263204555,-5.5703983433"""
"Vadillo-de-la-Sierra Vadillo-de-la-Sierra,""40.6130214041457,-5.1315613523"""
"Valdecasa Valdecasa,""40.6709020287263,-5.0151851926"""
"Vega-de-Santa-Maria Vega-de-Santa-Maria,""40.8344789532836,-4.6579285434"""
"Velayos Velayos,""40.8508098613463,-4.6046209876"""
"Villaflor Villaflor,""40.7547455606552,-4.8764535982"""
"Villafranca-de-la-Sierra Villafranca-de-la-Sierra,""40.4856314224873,-5.1649632593"""
"Villanueva-de-avila Villanueva-de-avila,""40.3728369127939,-4.8239530723"""
"Villanueva-de-Gomez Villanueva-de-Gomez,""40.8817224745663,-4.7150230407"""
"Villanueva-del-Aceral Villanueva-del-Aceral,""41.0424970303529,-4.8650216202"""
"Villanueva-del-Campillo Villanueva-del-Campillo,""40.5856850188526,-5.1901922537"""
"Villar-de-Corneja Villar-de-Corneja,""40.47704079186,-5.441209991337"""
"Villarejo-del-Valle Villarejo-del-Valle,""40.3222699748031,-4.9933202854"""
"Villatoro Villatoro,""40.5314561983393,-5.1024740046"""
"Vinegra-de-Morana Vinegra-de-Morana,""40.8556229659396,-4.9274189009"""
"Vita Vita,""40.8284082599965,-5.0005423288"""
"Zapardiel-de-la-Canada Zapardiel-de-la-Canada,""40.6141788626062,-5.3185794316"""
"Zapardiel-de-la-Ribera Zapardiel-de-la-Ribera,""40.3079729736298,-5.3184779866"""
